dataset,eot,n,loop,rep4
A2/A5,True,90,0.8777777777777778,0.872394043528064
A2/A5,False,10,0.0,0.03556197156130645
A1,True,36,0.7777777777777778,0.7926689576174112
A1,False,44,0.06818181818181818,0.0761480787253983
